# Image list with two lines of data per image:
#   IMAGE_ID QW QX QY QZ TX TY TZ CAMERA_ID NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 115, mean observations per image: 0
20 0.4287317026 0.5495434406 0.5682236528 -0.4373934321 0.3068652158 -0.1663515482 1.488234106 5 right_fisheye_image/00003.jpg

21 0.6082800553 0.7936557354 0.01012214919 -0.001868203751 -1.495622391 0.127282775 0.1930674357 1 back_fisheye_image/00004.jpg

22 -0.5183347364 0.8147922997 -0.1393868947 -0.21912075 -1.695551667 -0.5126977587 0.05924074725 2 frontleft_fisheye_image/00004.jpg

23 -0.5135321224 0.8098592596 0.1543932319 0.2378559833 -0.7572662846 -0.5225979605 -1.443941193 3 frontright_fisheye_image/00004.jpg

24 0.4339160525 0.5583717141 -0.5565010829 0.4361701881 -0.4948535933 0.5782758273 -1.450435497 4 left_fisheye_image/00004.jpg

25 0.437107719 0.5656078602 0.5561293468 -0.4239631352 0.4660096966 -0.1374126587 1.333393594 5 right_fisheye_image/00004.jpg

26 0.5938316967 0.7795082472 -0.1473187702 0.1342683448 -1.455170803 0.1974081334 -0.1889960128 1 back_fisheye_image/00005.jpg

27 -0.4543103221 0.7637973322 -0.3281824813 -0.320174992 -1.464730876 -0.2937211843 0.370864882 2 frontleft_fisheye_image/00005.jpg

28 -0.56060757 0.8185060863 -0.05984154108 0.1103898956 -0.9461762427 -0.2818617777 -1.051886646 3 frontright_fisheye_image/00005.jpg

29 -0.3210401765 -0.402543251 0.6685998898 -0.5365317544 -0.01041013795 0.5386063065 -1.418721165 4 left_fisheye_image/00005.jpg

30 0.5265206616 0.691351342 0.3959135322 -0.2967520679 -0.04874174707 -0.1422298299 1.276295855 5 right_fisheye_image/00005.jpg

31 0.5214325987 0.6753714213 -0.4203747202 0.3086528518 -1.15079712 0.5780524539 -1.305223176 1 back_fisheye_image/00006.jpg

32 -0.3128305747 0.6088223167 -0.5486300622 -0.4800806944 -0.601690771 0.1427061392 1.173541686 2 frontleft_fisheye_image/00006.jpg

